local_id country type participant_age participant_gender participant_occupation participant_occ_detail participant_education participant_edu_length participant_school_year participant_nationality hh_size hh_age_1 hh_age_2 hh_age_3 hh_age_4 hh_age_5 hh_age_6 hh_age_7 hh_age_8 hh_age_9 hh_age_10 hh_age_11 hh_age_12 hh_age_13 hh_age_14 hh_age_15 hh_age_16 hh_age_17 hh_age_18 hh_age_19 hh_age_20 class_size work_contacts work_contacts_nr work_age_1 work_age_2 work_age_3 work_age_4 work_age_5 fill_in_age fill_in_gender child_care child_care_nr child_relationship child_nationality problems day1 month1 year1 dayofweek1 work_day1 holiday1 diary_how1 diary_missed_unsp1 day2 month2 year2 dayofweek2 work_day2 holiday2 diary_how2 diary_missed_unsp2 diary_weight
38 BE 1 61 M 2 NA 3 12 NA BE 2 54 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 18 3 2006 6 0 0 1 1 20 3 2006 1 1 0 1 1 0.7616
39 BE 1 45 F 1 5 7 15 NA BE 4 16 18 49 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 10 0 0 0 1 0 NA NA NA NA NA NA N 18 3 2006 6 0 0 1 1 20 3 2006 1 1 0 1 1 1.0063
40 BE 1 69 M 2 NA 7 15 NA BE 2 66 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 19 3 2006 0 0 0 1 4 21 3 2006 2 1 0 1 1 1.4922
41 BE 3 1 F 1 7 3 12 NA BE 3 27 32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 27 F Y 1 1 BE N 17 3 2006 5 1 0 2 1 18 3 2006 6 0 0 2 2 0.3006
42 BE 1 56 F 2 NA 7 15 NA BE 2 58 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 15 3 2006 3 1 0 1 1 18 3 2006 6 0 0 1 1 0.9522
43 BE 2 14 M 5 NA NA NA 8 BE 4 12 41 46 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 23 N NA NA NA NA NA NA NA NA NA NA NA NA N 18 3 2006 6 0 0 2 1 20 3 2006 1 1 0 2 2 0.5116
44 BE 1 68 F 2 NA 2 9 NA BE 2 78 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 18 3 2006 6 0 0 2 1 21 3 2006 2 1 0 2 1 1.4922
45 BE 1 63 M 2 NA 7 15 NA BE 2 59 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 19 3 2006 0 0 0 1 2 21 3 2006 2 1 0 2 1 0.7616
46 BE 1 48 F 3 NA 3 12 NA BE 2 53 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 19 3 2006 0 0 0 2 1 21 3 2006 2 1 0 2 1 1.7036
47 BE 1 29 M 4 NA 3 12 NA BE 5 4 31 61 62 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 18 3 2006 6 0 0 3 1 20 3 2006 1 1 0 2 2 1.3812
48 BE 2 13 F 5 NA NA NA 7 BE 6 0 2 7 30 34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 19 3 2006 0 0 0 1 2 21 3 2006 2 1 0 1 2 1.0819
49 BE 1 39 F 1 7 7 15 NA BE 5 12 10 14 40 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 130 0 1 0 0 0 NA NA NA NA NA NA N 22 3 2006 3 1 0 3 1 25 3 2006 6 0 0 3 1 1.3126
50 BE 1 60 M 2 NA 3 12 NA BE 2 58 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 23 3 2006 4 1 0 1 1 25 3 2006 6 0 0 2 1 0.7616
51 BE 1 43 M 1 6 7 15 NA BE 3 8 36 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 10 0 0 0 1 0 NA NA NA NA NA NA N 22 3 2006 3 1 0 1 1 25 3 2006 6 0 0 1 1 0.87
52 BE 1 35 F 1 5 7 15 NA BE 5 5 6 7 35 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 5 0 0 0 1 0 NA NA NA NA NA NA N 19 3 2006 0 0 0 3 1 21 3 2006 2 1 0 2 1 1.3126
53 BE 1 60 F 2 NA 7 15 NA BE 2 61 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 23 3 2006 4 1 0 2 1 26 3 2006 0 0 0 2 1 0.7616
54 BE 1 37 M 1 8 3 12 NA OT 4 2 5 34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 60 0 0 0 1 0 NA NA NA NA NA NA N 24 3 2006 5 1 0 2 1 25 3 2006 6 0 0 2 4 1.2112
55 BE 1 68 M 2 NA 2 9 NA BE 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 22 3 2006 3 1 0 1 1 25 3 2006 6 0 0 1 1 1.0388
56 BE 1 43 F 3 NA 4 12 NA BE 3 16 42 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 24 3 2006 5 1 0 2 1 25 3 2006 6 0 0 2 1 0.87
57 BE 1 29 M 1 7 7 15 NA BE 3 61 68 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 24 3 2006 5 1 0 1 1 25 3 2006 6 0 0 1 1 1.007
58 BE 1 27 M 1 7 7 15 NA BE 2 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 30 0 0 1 1 0 NA NA NA NA NA NA N 24 3 2006 5 1 0 1 1 25 3 2006 6 0 0 1 2 1.0649
59 BE 1 48 F 1 7 7 15 NA BE 4 19 22 49 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 24 3 2006 5 1 0 1 1 25 3 2006 6 0 0 1 1 1.0063
60 BE 1 33 M 1 7 7 15 NA BE 3 62 68 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 23 3 2006 4 1 0 1 2 25 3 2006 6 0 0 2 1 0.7721
61 BE 1 36 F 4 NA 7 15 NA BE 4 1 3 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 22 3 2006 3 1 0 1 1 25 3 2006 6 0 0 1 1 1.2112
62 BE 1 42 F 4 NA 3 12 NA BE 3 15 44 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 24 3 2006 5 1 0 1 1 25 3 2006 6 0 0 1 1 0.87
63 BE 1 38 F 6 NA 7 15 NA BE 4 7 12 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 90 0 1 0 0 0 NA NA NA NA NA NA N 23 3 2006 4 1 0 1 1 25 3 2006 6 0 0 1 1 1.2112
64 BE 1 62 F 2 NA 2 9 NA BE 3 31 62 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 22 3 2006 3 1 0 1 1 25 3 2006 6 0 0 1 1 1.366
65 BE 1 47 F 1 7 2 9 NA BE 3 24 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 20 0 0 0 1 0 NA NA NA NA NA NA N 23 3 2006 4 1 0 1 2 25 3 2006 6 0 0 2 2 0.8875
66 BE 1 57 F 2 NA 2 9 NA BE 3 21 61 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 22 3 2006 3 1 0 1 1 25 3 2006 6 0 0 1 1 1.0135
67 BE 1 70 M 2 NA 7 15 NA BE 2 69 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 24 3 2006 5 1 0 1 1 26 3 2006 0 0 0 1 1 2.285
68 BE 1 55 F 6 NA 7 15 NA BE 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 24 3 2006 5 1 0 2 2 26 3 2006 0 0 0 2 1 1.0573
69 BE 1 32 M 1 8 4 12 NA BE 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 80 0 0 0 1 1 NA NA NA NA NA NA N 23 3 2006 4 1 0 2 2 25 3 2006 6 0 0 2 2 0.8324
70 BE 1 18 F 5 NA 3 12 NA BE 6 15 16 36 49 72 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 18 3 2006 6 0 0 2 4 20 3 2006 1 1 0 1 2 0.6122
71 BE 1 32 F 1 6 7 15 NA BE 3 2 37 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 15 0 0 0 1 1 NA NA NA NA NA NA N 22 3 2006 3 1 0 1 2 25 3 2006 6 0 0 2 1 0.7721
72 BE 3 8 M 1 8 3 12 NA BE 5 1 5 24 31 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 24 M Y 3 2 BE N 24 3 2006 5 1 0 2 2 26 3 2006 0 0 0 2 2 1.1573
73 BE 1 75 M 2 NA 2 9 NA BE 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 24 3 2006 5 1 0 2 1 26 3 2006 0 0 0 2 1 3.9884
74 BE 1 81 F 2 NA 4 12 NA BE 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 24 3 2006 5 1 0 1 1 26 3 2006 0 0 0 1 1 3.9884
75 BE 3 8 M 1 7 7 15 NA BE 4 12 42 42 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 42 F Y 3 1 BE N 24 3 2006 5 1 0 2 3 26 3 2006 0 0 0 2 1 0.4368
76 BE 1 23 M 5 NA 7 15 NA BE 4 27 50 51 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 24 3 2006 5 1 0 2 1 26 3 2006 0 0 0 2 1 0.6037
77 BE 1 45 F 1 7 7 15 NA BE 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 10 0 0 0 1 0 NA NA NA NA NA NA N 22 3 2006 3 1 0 2 2 26 3 2006 0 0 0 2 2 1.3978
78 BE 1 24 M 1 7 7 15 NA BE 4 21 45 45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 15 0 0 0 1 0 NA NA NA NA NA NA N 23 3 2006 4 1 0 2 1 26 3 2006 0 0 0 2 1 0.6037
79 BE 1 57 F 4 NA 2 9 NA BE 3 23 57 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 23 3 2006 4 1 0 1 1 26 3 2006 0 0 0 2 1 1.0135
80 BE 1 71 F 2 NA 0 0 NA BE 2 77 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 24 3 2006 5 1 0 2 1 26 3 2006 0 0 0 2 1 2.285
81 BE 1 56 F 2 NA 7 15 NA BE 3 26 67 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 24 3 2006 5 1 0 2 1 26 3 2006 0 0 0 1 1 1.0135
82 BE 1 23 M 4 NA 7 15 NA BE 4 20 48 53 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 17 3 2006 5 1 0 1 2 18 3 2006 6 0 0 2 2 0.6037
83 BE 1 52 F 3 NA 4 12 NA BE 3 19 53 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 22 3 2006 3 1 0 1 1 24 3 2006 5 1 0 2 4 0.8367
84 BE 1 61 F 3 NA 2 9 NA BE 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 24 3 2006 5 1 0 2 2 25 3 2006 6 0 0 2 2 0.882
85 BE 1 54 M 1 7 7 15 NA BE 4 28 53 80 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 24 3 2006 5 1 0 1 1 25 3 2006 6 0 0 1 1 0.6693
86 BE 1 47 F 1 7 3 12 NA BE 5 14 19 22 51 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 30 0 0 0 1 0 NA NA NA NA NA NA N 23 3 2006 4 1 0 2 2 25 3 2006 6 0 0 2 1 1.0331
87 BE 1 39 F 1 7 7 15 NA BE 4 7 9 44 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 22 0 0 0 1 0 NA NA NA NA NA NA N 24 3 2006 5 1 0 1 1 25 3 2006 6 0 0 1 2 1.2112
88 BE 1 55 M 1 7 7 15 NA BE 2 51 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 22 3 2006 3 1 0 1 2 25 3 2006 6 0 0 1 2 0.9522
89 BE 1 52 F 1 7 2 9 NA BE 2 55 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 23 3 2006 4 1 0 1 1 26 3 2006 0 0 0 1 1 1.0549
90 BE 1 56 M 6 NA 7 15 NA BE 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 23 3 2006 4 1 0 2 1 26 3 2006 0 0 0 2 1 1.0573
91 BE 1 54 F 3 NA 7 15 NA BE 4 19 24 27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 26 3 2006 0 0 0 2 1 27 3 2006 1 1 0 2 1 0.6693
92 BE 1 57 M 6 NA 2 9 NA BE 4 18 20 53 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 24 3 2006 5 1 0 1 2 26 3 2006 0 0 0 2 1 0.5455
93 BE 1 62 F 2 NA 3 12 NA BE 2 62 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 26 3 2006 0 0 0 1 1 27 3 2006 1 1 0 1 1 0.7616
94 BE 1 75 M 2 NA 2 9 NA BE 2 67 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA N NA NA NA NA NA NA NA NA NA NA NA NA N 23 3 2006 4 1 0 1 1 25 3 2006 6 0 0 1 1 2.285
95 BE 1 56 F 1 8 4 12 NA BE 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA Y 6 0 0 0 0 1 NA NA NA NA NA NA N 24 3 2006 5 1 0 2 2 26 3 2006 0 0 0 2 3 1.0573
